title,description,published_at,source,compound,sentiment_label
'Healthy poison': Bayern ready for Klassiker against Dortmund,"Bayern Munich enter Saturday's Bundesliga Klassiker against Borussia Dortmund with plenty of ""healthy poison"" from a week's training as they aim to all but decide the title race. Bayern top the table eight points ahead of Dortmund and would go 11 points clear…",2026-02-27T20:43:35Z,Dpa-international.com,0.2846,Positive
LA Galaxy or retirement? Brazil star Coutinho reportedly weighing career end amid MLS rumors,"Philippe Coutinho could decide to retire, although a move to Major League Soccer to join LA Galaxy is also among his options.
 Few cases in recent years compare to that of Philippe Coutinho. The Brazilian midfielder was a superstar at Liverpool when Barcelona…",2026-02-27T20:35:11Z,Worldsoccertalk.com,0.296,Positive
"MLS’s experimental rule changes that cut time-wasting, sped up play are going global","Four years ago, MLS Next Pro implemented a pair of rules geared towards eliminating time-wasting. Now, just months ahead of the 2026 World Cup, MLS’s experimentation is set to be adopted globally. The International Football Association Board (Ifab), the sport…",2026-02-27T20:25:12Z,Yahoo Entertainment,0.0772,Positive
Cristiana Girelli renews with Juventus and joins Bay FC on loan,"After eight seasons with the Juventus Women's First Team, Cristiana Girelli will be wearing a different shirt in the coming months. The Bianconere number 10 has extended her contract with our club un...",2026-02-27T20:00:00Z,Juventus.com,0.0772,Positive
New professional soccer league delivers big dreams for Pacific nations,"A new professional soccer league has launched across Australia, New Zealand and the Pacific, though questions remain over whether it can survive long-term.",2026-02-27T19:56:58Z,ABC News (AU),0.4939,Positive
Lasses News: Sunderland Women In Talks Over Majority Sale,"With rumours of fresh investment in the Lasses growing, could this be another major turning point for the team?",2026-02-27T19:53:34Z,SB Nation,0.4588,Positive
WR denies liability in defence to ex-players' lawsuit,"World Rugby this week filed its defence to lawsuits brought by hundreds of former rugby union players over neurological injuries, denying any liability and arguing injuries are a ""foreseeable and inherent risk"" in playing the sport.",2026-02-27T19:37:51Z,RTE,-0.8957,Negative
Champions League's Cinderella club Bodø/Glimt rises after cash-driven Super League rejected,"Bodø/Glimt is a feelgood soccer story for the ages just as the divisive and cash-driven Super League project finally ended this month. At the Champions League draw on Friday, Manchester City’s potential opponents in the round-of-16 bracket were two teams repr…",2026-02-27T19:31:56Z,Yahoo Entertainment,0.9062,Positive
"CT United FC Unveils 2026 Kits, Announces Front-of-Kit Partner PHȲND, and Names Inaugural Team Captain",Forever United and Charter Oak Kits Debut as Club Prepares for Inaugural Match on March 1 Forever United and Charter Oak Kits Debut as Club Prepares for Inaugural Match on March 1,2026-02-27T19:00:00Z,GlobeNewswire,0.8126,Positive
Who is on Trump's college sports roundtable? List heavy on Florida,"President Donald Trump announced a roundtable on the future of college sports, inviting several former athletes and coaches from Florida.",2026-02-27T17:44:11Z,Palm Beach Post,0.3182,Positive
'Extraordinary' Rohl remarks about Hoops bemuse O'Neill,"Celtic manager Martin O'Neill found it ""absolutely extraordinary"" that Rangers counterpart Danny Rohl was commenting on his team selection ahead of their trip to Ibrox.",2026-02-27T16:34:30Z,RTE,0.0,Neutral
Cristiano Ronaldo receives surprise invitation to play for Almeria: Would it even be possible after buying 25% stake in the ex-La Liga side?,"The Portuguese superstar, still active at the highest level, has expanded his influence beyond the pitch and is now linked with a romantic return to Spanish soccer.
 Cristiano Ronaldo has once again placed himself at the center of the soccer conversation. The…",2026-02-27T16:32:37Z,Worldsoccertalk.com,0.836,Positive
