title,description,published_at,source
"Iran, the US, and a World Cup that starts in three months",What does the US conflict with Iran mean for what was already set to be a highly politicised World Cup this summer?,2026-03-01T17:51:04Z,BBC News
Three sporting events to watch this week: Your handy guide to sport on television,Your guide to the best sport on television,2026-03-01T17:01:00Z,The Irish Times
Kentucky High School Football: Trinity announces 2026 slate,"High school football schedules for the 2026 season are coming out one-by-one out of every state around the country and one that is a breeding ground for college prospects is Kentucky, with a number of squads finalizing their fall slates. The top high school f…",2026-03-01T16:52:06Z,On3.com
Sam Kerr scores first Australia goal in over two years in winning start at Asian Cup,"It was the moment everyone came out to see: hometown hero Sam Kerr scoring for Australia on her return to Perth. It took little more than 13 minutes as the household name and former Perth Glory striker headed home from a few yards out, to earn the Matildas a …",2026-03-01T16:31:04Z,Yahoo Entertainment
How to watch AS Roma vs Juventus in the USA: Live Stream and TV for 2025/2026 Serie A,"AS Roma will host Juventus in a Matchday 27 showdown in the 2025/2026 Serie A campaign. Supporters in the United States can catch every minute of the clash, with complete kickoff times and broadcast details provided for both television and streaming options.
…",2026-03-01T15:45:00Z,Worldsoccertalk.com
Will the Finalissima go ahead in Qatar? March soccer games in doubt as country suspends all sport after Iran strikes,High-profile international games in Qatar could be at risk of cancellation due to regional unrest.,2026-03-01T15:23:12Z,Sporting News
Michael Bradley’s Red Bulls Start Hot - And Maybe New York Will Notice,"Despite its enormousness, New York has always been somewhat of a last frontier for MLS. Maybe the young Red Bulls manager and his flourishing teen talent can change that.",2026-03-01T14:00:00Z,Forbes
Actor who played Dani Rojas in Ted Lasso is signing with U.S. pro soccer team,"Football is life, indeed.",2026-03-01T13:31:15Z,Sporting News
"The Denver Post debuts April Heinrichs Award for Colorado’s top senior soccer player, scholar and citizen",A Colorado soccer icon's legacy will carry onto the next generation.,2026-03-01T13:00:27Z,The Denver Post
Iran soccer chief casts doubt on World Cup participation amid war with U.S.,"Given the escalation with the U.S., 'it is unlikely that we can look forward to the World Cup,' Mehdi Taj, president of the Iranian Football Federation, said in an inteview with Spanish outlet Marca",2026-03-01T10:48:49Z,Haaretz
"How to Watch Celtics vs. 76ers Tonight: Channel, Live Stream & Start Time for NBA Game","Here is everything you need to know about Celtics vs. 76ers, including TV and streaming options for Sunday's game.",2026-03-01T10:00:02Z,NESN
Scottish Premiership Soccer 2026: Stream Rangers vs. Celtic Live,This Old Firm derby clash at Ibrox looks set to have a huge bearing on this season's title race.,2026-03-01T09:00:43Z,CNET
"'Good shot, GUS!!!! How to win at pickup basketball even if you're not all that great","Combining praise with names can have a powerful effect on performance. On the pickup basketball court, the effect can be transformative, making everyone to play their best. But it also creates a transformative effect to the one doing the praising, perhaps bec…",2026-03-01T08:00:00Z,Idratherbewriting.com
"Remember ‘sad girl rock’? Snail Mail, one of its key musicians, doesn’t think it ever existed","Along with artists such as Mitski and Phoebe Bridgers, Lindsey Jordan came to define the angsty, women-led and often queer melancholy of late 2010s indie-rock. But it was a media-concocted movement with a ‘weird energy’, she tells Louis Chilton, ahead of the …",2026-03-01T06:00:00Z,The-independent.com
Coachella Valley beats Del Sol for school's first CIF title in 19 years,The Arabs fell behind early but scored three consecutive goals and never looked back.,2026-03-01T05:21:08Z,The Desert Sun
"After World Cup success, Australia looks to grow women’s soccer as host of the Asian Cup","If you were to define the term “feel-good factor” in August 2023, you would have honed in on the Australia women’s soccer team. Although the Matildas bowed out to England in the semi-finals at the 2023 Women’s World Cup, co-hosting the tournament with New Zea…",2026-03-01T05:16:04Z,Yahoo Entertainment
Game-changing rules for 2026 FIFA World Cup: Say goodbye to time-wasting tactics,"Football&apos;s rulebook is facing one of its most significant shifts in years, as the International Football Association Board (IFAB) greenlights a suite of measures designed to o",2026-03-01T04:27:45Z,Marca
Iran is set to play 2 matches in Los Angeles at the 2026 FIFA World Cup. Will that still happen?,"Saturday’s major military attack on Iran by U.S. and Israeli forces is impacting everything from international diplomacy to the game of soccer. The move by President Trump to strike multiple targets in Iran comes just months before the 2026 FIFA World Cup, wh…",2026-03-01T03:53:31Z,Freerepublic.com
Asian Football Confederation postpones West Region Champions League games after attacks on Iran,The Asian Football Confederation has postponed continental club championship playoffs scheduled in the Middle East this week in response to the U.S. and Israel attacks on Iran. The AFC Champions League 2 and AFC Challenge League quarterfinals scheduled for Tu…,2026-03-01T03:28:49Z,Yahoo Entertainment
Michael Bradley’s reliance on youth movement pays off in Red Bulls’ win over Revolution,Youth movement has taken on a new meaning for Red Bull New York.,2026-03-01T01:26:23Z,New York Post
"World Cup Headaches Include U.S.'s Bombing Of Iran, Mexican Violence",Headaches and problems have piled up in the U.S. and Mexico prior to this summer's World Cup. Can they be solved prior to the June 11 kickoff?,2026-03-01T00:38:04Z,Forbes
Stive-Bentley Keumajou Yondui sets official visit Florida football,Florida is eyeing a defensive line recruit in the Miami area. He's set an official visit date with the Gators and plans to visit for spring practices.,2026-02-28T22:01:00Z,USA Today
"Marketing News of the Month: Super Bowl, Valentine's Day, Winter Olympics, and More","Blog by Debbie Laskey about marketing, branding, social media, management, leadership, employee engagement, customer experiences, public relations.",2026-02-28T21:50:32Z,Debbielaskeysblog.com
New laws to help speed up soccer will be in effect at the World Cup,"An adjusted version of an off-field treatment rule that Lionel Messi complained about in 2024 was adopted in time for the World Cup by the International Football Association Board on Saturday. The annual general meeting of IFAB, which sets the rules of the ga…",2026-02-28T21:29:50Z,Japan Today
Lamine Yamal tops ranking of world’s most valuable players at $338 million: Where does Mbappe stand?,"A ranking of the most valuable players in the world has Lamine Yamal at the top, ahead of Kylian Mbappe.
 Most soccer fans and analysts would probably agree that the two biggest stars in the sport right now are Kylian Mbappe and Lamine Yamal. Nearly a decade …",2026-02-28T21:28:02Z,Worldsoccertalk.com
UEFA Secures Pirate Site Blocking and (Global) Domain Suspension Order in India,"UEFA has obtained a broad blocking injunction at the High Court of Delhi, targeting 79 pirate streaming domains that reportedly attracted two billion annual visits. Obtained in cooperation with anti-piracy coalition ACE, the order compels Indian ISPs and glob…",2026-02-28T21:00:38Z,Torrentfreak.com
Women's Asian Cup hoped to change women's football in Australia,"The Matildas' run in the 2023 World Cup saw unprecedented media coverage and crowds, and a participation boom among girls and women. Can the Asian Cup do the same?",2026-02-28T20:13:29Z,ABC News (AU)
Louth continue to impress with hammering of Cavan,"Louth backed up their impressive home win over Tyrone with a trouncing of a very poor Cavan before a crowd of 3,894 in their Allianz Football League Division 2 clash at Kingspan Breffni.",2026-02-28T19:40:50Z,RTE
Problems for FIFA: Iran 'unlikely' to go to World Cup in United States and suspends its league,"The president of the Iranian Football Federation, Mehdi Taj, has just spoken in Tehran (Iranian public television) and gave the version of his organization on the conflict that, si",2026-02-28T19:08:50Z,Marca
FIFA to introduce key VAR changes and new anti-time wasting rules ahead of 2026 World Cup,"The 2026 FIFA World Cup will bring numerous rule changes, including updates to VAR.
 Rule changes and technological innovations have been a constant in soccer in recent years, aimed at speeding up the game and preventing referee errors that could impact match…",2026-02-28T17:32:16Z,Worldsoccertalk.com
States boasting the most championships,"American pro sports titles are not spread evenly across the map. A few states dominate the record books because they host teams from several major leagues and have long winning histories. The count includes titles from the NFL, NBA, MLB,…",2026-02-28T16:48:20Z,The Big Lead
Ilia Topuria shifts stance on Cristiano Ronaldo following new business partnership,"While the debate over the greatest soccer player in history remains a permanent fixture in sports culture, UFC double champion is offering a fresh perspective on his own preference",2026-02-28T16:29:56Z,Marca
Two Venues…Rose Bowl and Inuit Dome..A Century Apart In Construction Deliver On Timeless Stoytelling…,Last week within 24 hours I got to visit two venues in greater Los Angeles decades…actually over a century…apart in construction but with a common storytelling theme; to capture and excite those who entered their walls regardless of the result on the court or…,2026-02-28T14:09:00Z,Joefavorito.com
"New MLS Apple TV Data Is Promising, But Don’t Jump To Conclusions","On Thursday, Major League Soccer announced that 9.7 million viewers had watched opening weekend matches across all platforms, an increase of 59% from the year before.",2026-02-28T14:00:29Z,Forbes
How to watch Borussia Dortmund vs Bayern in the USA: Live Stream and TV for 2025/2026 Bundesliga,"Borussia Dortmund receive Bayern Munich for Matchday 24 of the 2025–2026 Bundesliga season. Find out here how fans in the United States can watch the showdown, with complete information on kickoff times and where to tune in via TV and streaming services.
 
He…",2026-02-28T13:30:00Z,Worldsoccertalk.com
Wider VAR scope and more countdowns for World Cup,Corners and second yellow cards are added to the scope of the video assistant referee for this summer's World Cup.,2026-02-28T13:13:09Z,BBC News
Premier League Soccer 2026: Stream Liverpool vs. West Ham Live,The in-form Hammers look to keep alive their hopes of a great escape as they head to Anfield.,2026-02-28T12:00:29Z,CNET
How to watch Barcelona vs Villarreal in the USA: Live Stream and TV for 2025/2026 La Liga,"Barcelona square off against Villarreal CF in a pivotal Matchday 26 clash of the 2025/26 La Liga campaign. Below is all the essential information for fans, from kickoff times to broadcast and streaming options so you can catch every minute of the action live.…",2026-02-28T11:15:00Z,Worldsoccertalk.com
"2027 NFL Draft QB rankings: Where do Arch Manning, Julian Sayin fall?",Many teams and their fanbases will be looking ahead to 2027 for finding a young quarterback. Here's the names to know for the class next year.,2026-02-28T11:03:30Z,USA Today
"Where to watch Leeds vs. Man City live stream, TV channel, start time for Premier League match",Manchester City will try to cut Arsenal's lead at the top of the Premier League when they travel to Leeds,2026-02-28T10:00:01Z,Sporting News
EverPass and Apple TV Reach Deal Bringing Sporting Content To Bars And Other Places,"Apple and EverPass Media have agreed to a deal that provides sports content on the Apple TV to customers on EverPass in the U.S. EverPass is a company that merges premium sports content for casinos, restaurants, and more for those who want sporting events. Ev…",2026-02-28T09:08:59Z,iLounge
